iso3,year,sex,class,employed,source
ABW,2010,F,1,21.429,PC - Population and Housing Census
ABW,2010,F,2,0.854,PC - Population and Housing Census
ABW,2010,F,3,0.499,PC - Population and Housing Census
ABW,2010,F,5,0.052,PC - Population and Housing Census
ABW,2010,F,6,0.329,PC - Population and Housing Census
ABW,2010,F,TOTAL,23.163,PC - Population and Housing Census
ABW,2010,M,1,20.099,PC - Population and Housing Census
ABW,2010,M,2,1.769,PC - Population and Housing Census
ABW,2010,M,3,1.34,PC - Population and Housing Census
ABW,2010,M,5,0.026,PC - Population and Housing Census
ABW,2010,M,6,0.129,PC - Population and Housing Census
ABW,2010,M,TOTAL,23.363,PC - Population and Housing Census
AFG,2012,F,1,130.39,HIES - Households Living Conditions Survey
AFG,2012,F,2,3.669,HIES - Households Living Conditions Survey
AFG,2012,F,3,502.613,HIES - Households Living Conditions Survey
AFG,2012,F,5,409.768,HIES - Households Living Conditions Survey
AFG,2012,F,6,15.012,HIES - Households Living Conditions Survey
AFG,2012,F,TOTAL,1061.452,HIES - Households Living Conditions Survey
AFG,2012,M,1,1048.876,HIES - Households Living Conditions Survey
AFG,2012,M,2,57.758,HIES - Households Living Conditions Survey
AFG,2012,M,3,3767.634,HIES - Households Living Conditions Survey
AFG,2012,M,5,423.094,HIES - Households Living Conditions Survey
AFG,2012,M,6,60.802,HIES - Households Living Conditions Survey
AFG,2012,M,TOTAL,5358.164,HIES - Households Living Conditions Survey
AFG,2014,F,1,180.003,HIES - Households Living Conditions Survey
AFG,2014,F,2,29.652,HIES - Households Living Conditions Survey
AFG,2014,F,3,150.296,HIES - Households Living Conditions Survey
AFG,2014,F,5,1083.132,HIES - Households Living Conditions Survey
AFG,2014,F,6,241.146,HIES - Households Living Conditions Survey
AFG,2014,F,TOTAL,1684.229,HIES - Households Living Conditions Survey
AFG,2014,M,1,2092.724,HIES - Households Living Conditions Survey
AFG,2014,M,2,125.106,HIES - Households Living Conditions Survey
AFG,2014,M,3,1853.109,HIES - Households Living Conditions Survey
AFG,2014,M,5,819.092,HIES - Households Living Conditions Survey
AFG,2014,M,6,428.778,HIES - Households Living Conditions Survey
AFG,2014,M,TOTAL,5318.809,HIES - Households Living Conditions Survey
AFG,2017,F,1,107.184,HIES - Households Living Conditions Survey
AFG,2017,F,2,30.886,HIES - Households Living Conditions Survey
AFG,2017,F,3,309.539,HIES - Households Living Conditions Survey
AFG,2017,F,5,921.288,HIES - Households Living Conditions Survey
AFG,2017,F,6,9.327,HIES - Households Living Conditions Survey
AFG,2017,F,TOTAL,1378.224,HIES - Households Living Conditions Survey
AFG,2017,M,1,988.65,HIES - Households Living Conditions Survey
AFG,2017,M,2,134.863,HIES - Households Living Conditions Survey
AFG,2017,M,3,3238.002,HIES - Households Living Conditions Survey
AFG,2017,M,5,582.226,HIES - Households Living Conditions Survey
AFG,2017,M,6,74.569,HIES - Households Living Conditions Survey
AFG,2017,M,TOTAL,5018.31,HIES - Households Living Conditions Survey
AFG,2020,F,1,84.829,LFS - Labour Force Survey
AFG,2020,F,2,8.167,LFS - Labour Force Survey
AFG,2020,F,3,349.167,LFS - Labour Force Survey
AFG,2020,F,5,671.596,LFS - Labour Force Survey
AFG,2020,F,6,26.966,LFS - Labour Force Survey
AFG,2020,F,TOTAL,1140.725,LFS - Labour Force Survey
AFG,2020,M,1,844.982,LFS - Labour Force Survey
AFG,2020,M,2,89.364,LFS - Labour Force Survey
AFG,2020,M,3,3287.169,LFS - Labour Force Survey
AFG,2020,M,5,599.927,LFS - Labour Force Survey
AFG,2020,M,6,116.342,LFS - Labour Force Survey
AFG,2020,M,TOTAL,4937.784,LFS - Labour Force Survey
AFG,2021,F,1,96.284,LFS - Labour Force Survey
AFG,2021,F,2,7.638,LFS - Labour Force Survey
AFG,2021,F,3,1482.843,LFS - Labour Force Survey
AFG,2021,F,5,232.338,LFS - Labour Force Survey
AFG,2021,F,6,9.943,LFS - Labour Force Survey
AFG,2021,F,TOTAL,1829.046,LFS - Labour Force Survey
AFG,2021,M,1,1613.365,LFS - Labour Force Survey
AFG,2021,M,2,364.68,LFS - Labour Force Survey
AFG,2021,M,3,3529.549,LFS - Labour Force Survey
AFG,2021,M,5,309.29,LFS - Labour Force Survey
AFG,2021,M,6,33.544,LFS - Labour Force Survey
AFG,2021,M,TOTAL,5850.428,LFS - Labour Force Survey
AGO,2011,F,1,262.135,LFS - Employment Survey
AGO,2011,F,2,390.74,LFS - Employment Survey
AGO,2011,F,3,910.24,LFS - Employment Survey
AGO,2011,F,4,2.679,LFS - Employment Survey
AGO,2011,F,5,1439.637,LFS - Employment Survey
AGO,2011,F,6,411.145,LFS - Employment Survey
AGO,2011,F,TOTAL,3416.577,LFS - Employment Survey
AGO,2011,M,1,663.67,LFS - Employment Survey
AGO,2011,M,2,860.792,LFS - Employment Survey
AGO,2011,M,3,538.231,LFS - Employment Survey
AGO,2011,M,4,11.116,LFS - Employment Survey
AGO,2011,M,5,968.163,LFS - Employment Survey
AGO,2011,M,6,310.203,LFS - Employment Survey
AGO,2011,M,TOTAL,3352.176,LFS - Employment Survey
AGO,2014,F,1,581.097,PC - Recensements de Population
AGO,2014,F,2,79.557,PC - Recensements de Population
AGO,2014,F,3,1528.162,PC - Recensements de Population
AGO,2014,F,4,11.065,PC - Recensements de Population
AGO,2014,F,5,162.952,PC - Recensements de Population
AGO,2014,F,6,11.722,PC - Recensements de Population
AGO,2014,F,TOTAL,2374.555,PC - Recensements de Population
AGO,2014,M,1,1319.581,PC - Recensements de Population
AGO,2014,M,2,172.593,PC - Recensements de Population
AGO,2014,M,3,1262.757,PC - Recensements de Population
AGO,2014,M,4,18.256,PC - Recensements de Population
AGO,2014,M,5,127.763,PC - Recensements de Population
AGO,2014,M,6,16.797,PC - Recensements de Population
AGO,2014,M,TOTAL,2917.747,PC - Recensements de Population
AGO,2019,F,1,763.909,LFS - Employment Survey
AGO,2019,F,2,238.885,LFS - Employment Survey
AGO,2019,F,3,3348.191,LFS - Employment Survey
AGO,2019,F,4,6.792,LFS - Employment Survey
AGO,2019,F,5,676.303,LFS - Employment Survey
AGO,2019,F,6,177.109,LFS - Employment Survey
AGO,2019,F,TOTAL,5211.19,LFS - Employment Survey
AGO,2019,M,1,1780.145,LFS - Employment Survey
AGO,2019,M,2,739.388,LFS - Employment Survey
AGO,2019,M,3,2081.142,LFS - Employment Survey
AGO,2019,M,4,18.084,LFS - Employment Survey
AGO,2019,M,5,314.445,LFS - Employment Survey
AGO,2019,M,6,106.279,LFS - Employment Survey
AGO,2019,M,TOTAL,5039.481,LFS - Employment Survey
AGO,2020,F,1,665.199,LFS - Employment Survey
AGO,2020,F,2,252.28,LFS - Employment Survey
AGO,2020,F,3,3160.336,LFS - Employment Survey
AGO,2020,F,4,0.527,LFS - Employment Survey
AGO,2020,F,5,1124.478,LFS - Employment Survey
AGO,2020,F,6,186.821,LFS - Employment Survey
AGO,2020,F,TOTAL,5389.641,LFS - Employment Survey
AGO,2020,M,1,1673.4,LFS - Employment Survey
AGO,2020,M,2,754.051,LFS - Employment Survey
AGO,2020,M,3,1952.651,LFS - Employment Survey
AGO,2020,M,4,3.167,LFS - Employment Survey
AGO,2020,M,5,696.971,LFS - Employment Survey
AGO,2020,M,6,133.138,LFS - Employment Survey
AGO,2020,M,TOTAL,5213.378,LFS - Employment Survey
AGO,2021,F,1,748.111,LFS - Employment Survey
AGO,2021,F,2,241.484,LFS - Employment Survey
AGO,2021,F,3,3118.997,LFS - Employment Survey
AGO,2021,F,4,0.271,LFS - Employment Survey
AGO,2021,F,5,1379.773,LFS - Employment Survey
AGO,2021,F,6,151.235,LFS - Employment Survey
AGO,2021,F,TOTAL,5639.87,LFS - Employment Survey
AGO,2021,M,1,1754.46,LFS - Employment Survey
AGO,2021,M,2,861.499,LFS - Employment Survey
AGO,2021,M,3,1834.451,LFS - Employment Survey
AGO,2021,M,4,4.809,LFS - Employment Survey
AGO,2021,M,5,907.989,LFS - Employment Survey
AGO,2021,M,6,112.367,LFS - Employment Survey
AGO,2021,M,TOTAL,5475.575,LFS - Employment Survey
AGO,2022,F,1,874.657,LFS - Employment Survey
AGO,2022,F,2,252.227,LFS - Employment Survey
AGO,2022,F,3,3644.33,LFS - Employment Survey
AGO,2022,F,4,0.915,LFS - Employment Survey
AGO,2022,F,5,1111.793,LFS - Employment Survey
AGO,2022,F,6,137.17,LFS - Employment Survey
AGO,2022,F,TOTAL,6021.092,LFS - Employment Survey
AGO,2022,M,1,1965.037,LFS - Employment Survey
AGO,2022,M,2,870.681,LFS - Employment Survey
AGO,2022,M,3,2151.698,LFS - Employment Survey
AGO,2022,M,4,4.986,LFS - Employment Survey
AGO,2022,M,5,690.95,LFS - Employment Survey
AGO,2022,M,6,99.972,LFS - Employment Survey
AGO,2022,M,TOTAL,5783.325,LFS - Employment Survey
AGO,2023,F,1,998.882,LFS - Employment Survey
AGO,2023,F,2,504.287,LFS - Employment Survey
AGO,2023,F,3,3341.767,LFS - Employment Survey
AGO,2023,F,4,0,LFS - Employment Survey
AGO,2023,F,5,1118.079,LFS - Employment Survey
AGO,2023,F,6,246.289,LFS - Employment Survey
AGO,2023,F,TOTAL,6209.304,LFS - Employment Survey
AGO,2023,M,1,1937.531,LFS - Employment Survey
AGO,2023,M,2,1078.073,LFS - Employment Survey
AGO,2023,M,3,2045.679,LFS - Employment Survey
AGO,2023,M,4,17.008,LFS - Employment Survey
AGO,2023,M,5,692.263,LFS - Employment Survey
AGO,2023,M,6,146.545,LFS - Employment Survey
AGO,2023,M,TOTAL,5917.099,LFS - Employment Survey
AGO,2024,F,1,1058.299,LFS - Employment Survey
AGO,2024,F,2,469.525,LFS - Employment Survey
AGO,2024,F,3,3593.197,LFS - Employment Survey
AGO,2024,F,4,1.487,LFS - Employment Survey
AGO,2024,F,5,1241.053,LFS - Employment Survey
AGO,2024,F,6,126.811,LFS - Employment Survey
AGO,2024,F,TOTAL,6490.371,LFS - Employment Survey
AGO,2024,M,1,2291.774,LFS - Employment Survey
AGO,2024,M,2,1011.499,LFS - Employment Survey
AGO,2024,M,3,2015.033,LFS - Employment Survey
AGO,2024,M,4,10.109,LFS - Employment Survey
AGO,2024,M,5,784.493,LFS - Employment Survey
AGO,2024,M,6,94.176,LFS - Employment Survey
AGO,2024,M,TOTAL,6207.083,LFS - Employment Survey
AGO,2025,F,1,1253.382,LFS - Employment Survey
AGO,2025,F,2,566.491,LFS - Employment Survey
AGO,2025,F,3,3900.7,LFS - Employment Survey
AGO,2025,F,4,2.434,LFS - Employment Survey
AGO,2025,F,5,1283.721,LFS - Employment Survey
AGO,2025,F,6,143.558,LFS - Employment Survey
AGO,2025,F,TOTAL,7150.286,LFS - Employment Survey
AGO,2025,M,1,2534.774,LFS - Employment Survey
AGO,2025,M,2,1013.356,LFS - Employment Survey
AGO,2025,M,3,2278.47,LFS - Employment Survey
AGO,2025,M,4,15.101,LFS - Employment Survey
AGO,2025,M,5,889.346,LFS - Employment Survey
AGO,2025,M,6,103.65,LFS - Employment Survey
AGO,2025,M,TOTAL,6834.698,LFS - Employment Survey
ALB,2010,F,1,184.862,LFS - Labour Force Survey
ALB,2010,F,2,2.294,LFS - Labour Force Survey
ALB,2010,F,3,92.943,LFS - Labour Force Survey
ALB,2010,F,5,216.992,LFS - Labour Force Survey
ALB,2010,F,TOTAL,497.497,LFS - Labour Force Survey
ALB,2010,M,1,320.359,LFS - Labour Force Survey
ALB,2010,M,2,16.009,LFS - Labour Force Survey
ALB,2010,M,3,242.437,LFS - Labour Force Survey
ALB,2010,M,5,90.94,LFS - Labour Force Survey
ALB,2010,M,TOTAL,669.744,LFS - Labour Force Survey
ALB,2011,F,1,178.571,LFS - Labour Force Survey
ALB,2011,F,2,5.988,LFS - Labour Force Survey
ALB,2011,F,3,105.669,LFS - Labour Force Survey
ALB,2011,F,5,221.001,LFS - Labour Force Survey
ALB,2011,F,TOTAL,511.228,LFS - Labour Force Survey
ALB,2011,M,1,272.714,LFS - Labour Force Survey
ALB,2011,M,2,15.871,LFS - Labour Force Survey
ALB,2011,M,3,216.486,LFS - Labour Force Survey
ALB,2011,M,5,143.172,LFS - Labour Force Survey
ALB,2011,M,TOTAL,648.242,LFS - Labour Force Survey
ALB,2012,F,1,160.589,LFS - Labour Force Survey
ALB,2012,F,2,4.942,LFS - Labour Force Survey
ALB,2012,F,3,83.633,LFS - Labour Force Survey
ALB,2012,F,5,251.218,LFS - Labour Force Survey
ALB,2012,F,TOTAL,500.382,LFS - Labour Force Survey
ALB,2012,M,1,258.254,LFS - Labour Force Survey
ALB,2012,M,2,12.353,LFS - Labour Force Survey
ALB,2012,M,3,202.788,LFS - Labour Force Survey
ALB,2012,M,5,160.069,LFS - Labour Force Survey
ALB,2012,M,TOTAL,633.465,LFS - Labour Force Survey
ALB,2013,F,1,172.152,LFS - Labour Force Survey
ALB,2013,F,2,5.011,LFS - Labour Force Survey
ALB,2013,F,3,76.012,LFS - Labour Force Survey
ALB,2013,F,5,207.789,LFS - Labour Force Survey
ALB,2013,F,TOTAL,460.965,LFS - Labour Force Survey
ALB,2013,M,1,242.438,LFS - Labour Force Survey
ALB,2013,M,2,12.795,LFS - Labour Force Survey
ALB,2013,M,3,169.94,LFS - Labour Force Survey
ALB,2013,M,5,138.002,LFS - Labour Force Survey
ALB,2013,M,TOTAL,563.176,LFS - Labour Force Survey
ALB,2014,F,1,184.352,LFS - Labour Force Survey
ALB,2014,F,2,2.472,LFS - Labour Force Survey
ALB,2014,F,3,74.279,LFS - Labour Force Survey
ALB,2014,F,5,184.488,LFS - Labour Force Survey
ALB,2014,F,TOTAL,445.592,LFS - Labour Force Survey
ALB,2014,M,1,246.54,LFS - Labour Force Survey
ALB,2014,M,2,17.497,LFS - Labour Force Survey
ALB,2014,M,3,172.284,LFS - Labour Force Survey
ALB,2014,M,5,142.221,LFS - Labour Force Survey
ALB,2014,M,TOTAL,578.543,LFS - Labour Force Survey
ALB,2015,F,1,198.373,LFS - Labour Force Survey
ALB,2015,F,2,4.538,LFS - Labour Force Survey
ALB,2015,F,3,76.756,LFS - Labour Force Survey
ALB,2015,F,5,184.31,LFS - Labour Force Survey
ALB,2015,F,TOTAL,463.977,LFS - Labour Force Survey
ALB,2015,M,1,247.261,LFS - Labour Force Survey
ALB,2015,M,2,21.017,LFS - Labour Force Survey
ALB,2015,M,3,212.73,LFS - Labour Force Survey
ALB,2015,M,5,136.977,LFS - Labour Force Survey
ALB,2015,M,TOTAL,617.985,LFS - Labour Force Survey
ALB,2016,F,1,218.152,LFS - Labour Force Survey
ALB,2016,F,2,6.601,LFS - Labour Force Survey
ALB,2016,F,3,123.204,LFS - Labour Force Survey
ALB,2016,F,5,156.246,LFS - Labour Force Survey
ALB,2016,F,TOTAL,504.203,LFS - Labour Force Survey
ALB,2016,M,1,258.295,LFS - Labour Force Survey
ALB,2016,M,2,24.497,LFS - Labour Force Survey
ALB,2016,M,3,246.739,LFS - Labour Force Survey
ALB,2016,M,5,117.219,LFS - Labour Force Survey
ALB,2016,M,TOTAL,646.75,LFS - Labour Force Survey
ALB,2017,F,1,239.554,LFS - Labour Force Survey
ALB,2017,F,2,7.767,LFS - Labour Force Survey
ALB,2017,F,3,130.155,LFS - Labour Force Survey
ALB,2017,F,5,137.123,LFS - Labour Force Survey
ALB,2017,F,TOTAL,514.599,LFS - Labour Force Survey
ALB,2017,M,1,286.935,LFS - Labour Force Survey
ALB,2017,M,2,27.867,LFS - Labour Force Survey
ALB,2017,M,3,260.568,LFS - Labour Force Survey
ALB,2017,M,5,101.765,LFS - Labour Force Survey
ALB,2017,M,TOTAL,677.134,LFS - Labour Force Survey
ALB,2018,F,1,253.728,LFS - Labour Force Survey
ALB,2018,F,2,7.1,LFS - Labour Force Survey
ALB,2018,F,3,123.815,LFS - Labour Force Survey
ALB,2018,F,5,154.88,LFS - Labour Force Survey
ALB,2018,F,TOTAL,539.522,LFS - Labour Force Survey
ALB,2018,M,1,293.393,LFS - Labour Force Survey
ALB,2018,M,2,33.387,LFS - Labour Force Survey
ALB,2018,M,3,253.472,LFS - Labour Force Survey
ALB,2018,M,5,109.184,LFS - Labour Force Survey
ALB,2018,M,TOTAL,689.436,LFS - Labour Force Survey
ALB,2019,F,1,269.401,LFS - Labour Force Survey
ALB,2019,F,2,6.257,LFS - Labour Force Survey
ALB,2019,F,3,123.591,LFS - Labour Force Survey
ALB,2019,F,5,163.227,LFS - Labour Force Survey
ALB,2019,F,TOTAL,562.476,LFS - Labour Force Survey
ALB,2019,M,1,308.956,LFS - Labour Force Survey
ALB,2019,M,2,32.555,LFS - Labour Force Survey
ALB,2019,M,3,245.324,LFS - Labour Force Survey
ALB,2019,M,5,115.359,LFS - Labour Force Survey
ALB,2019,M,TOTAL,702.194,LFS - Labour Force Survey
ALB,2020,F,1,261.436,LFS - Labour Force Survey
ALB,2020,F,2,7.182,LFS - Labour Force Survey
ALB,2020,F,3,134.981,LFS - Labour Force Survey
ALB,2020,F,5,149.184,LFS - Labour Force Survey
ALB,2020,F,TOTAL,552.784,LFS - Labour Force Survey
ALB,2020,M,1,311.648,LFS - Labour Force Survey
ALB,2020,M,2,36.818,LFS - Labour Force Survey
ALB,2020,M,3,233.107,LFS - Labour Force Survey
ALB,2020,M,5,107.2,LFS - Labour Force Survey
ALB,2020,M,TOTAL,688.773,LFS - Labour Force Survey
ALB,2021,F,1,274.6,LFS - Labour Force Survey
ALB,2021,F,2,7.604,LFS - Labour Force Survey
ALB,2021,F,3,121.649,LFS - Labour Force Survey
ALB,2021,F,5,151.165,LFS - Labour Force Survey
ALB,2021,F,TOTAL,555.018,LFS - Labour Force Survey
ALB,2021,M,1,322.998,LFS - Labour Force Survey
ALB,2021,M,2,41.839,LFS - Labour Force Survey
ALB,2021,M,3,227.939,LFS - Labour Force Survey
ALB,2021,M,5,100.154,LFS - Labour Force Survey
ALB,2021,M,TOTAL,692.929,LFS - Labour Force Survey
ALB,2022,F,1,288.093,LFS - Labour Force Survey
ALB,2022,F,2,9.611,LFS - Labour Force Survey
ALB,2022,F,3,131.673,LFS - Labour Force Survey
ALB,2022,F,5,168.044,LFS - Labour Force Survey
ALB,2022,F,TOTAL,597.42,LFS - Labour Force Survey
ALB,2022,M,1,322.459,LFS - Labour Force Survey
ALB,2022,M,2,42.063,LFS - Labour Force Survey
ALB,2022,M,3,224.543,LFS - Labour Force Survey
ALB,2022,M,5,111.415,LFS - Labour Force Survey
ALB,2022,M,TOTAL,700.48,LFS - Labour Force Survey
ALB,2023,F,1,245.993,LFS - Labour Force Survey
ALB,2023,F,2,11.818,LFS - Labour Force Survey
ALB,2023,F,3,108.364,LFS - Labour Force Survey
ALB,2023,F,5,165.49,LFS - Labour Force Survey
ALB,2023,F,TOTAL,531.666,LFS - Labour Force Survey
ALB,2023,M,1,278.921,LFS - Labour Force Survey
ALB,2023,M,2,32.784,LFS - Labour Force Survey
ALB,2023,M,3,199.833,LFS - Labour Force Survey
ALB,2023,M,5,110.025,LFS - Labour Force Survey
ALB,2023,M,TOTAL,621.563,LFS - Labour Force Survey
ALB,2024,F,1,251.271,LFS - Labour Force Survey
ALB,2024,F,2,8.09,LFS - Labour Force Survey
ALB,2024,F,3,104.427,LFS - Labour Force Survey
ALB,2024,F,5,172.418,LFS - Labour Force Survey
ALB,2024,F,TOTAL,536.205,LFS - Labour Force Survey
ALB,2024,M,1,285.734,LFS - Labour Force Survey
ALB,2024,M,2,30.862,LFS - Labour Force Survey
ALB,2024,M,3,210.679,LFS - Labour Force Survey
ALB,2024,M,5,112.268,LFS - Labour Force Survey
ALB,2024,M,TOTAL,639.544,LFS - Labour Force Survey
ARE,2016,F,1,1371.051,LFS - Labour Force Survey
ARE,2016,F,2,15.459,LFS - Labour Force Survey
ARE,2016,F,3,2.75,LFS - Labour Force Survey
ARE,2016,F,4,0,LFS - Labour Force Survey
ARE,2016,F,5,0.317,LFS - Labour Force Survey
ARE,2016,F,6,4.54,LFS - Labour Force Survey
ARE,2016,F,TOTAL,1394.118,LFS - Labour Force Survey
ARE,2016,M,1,5853.844,LFS - Labour Force Survey
ARE,2016,M,2,178.495,LFS - Labour Force Survey
ARE,2016,M,3,21.444,LFS - Labour Force Survey
ARE,2016,M,4,0,LFS - Labour Force Survey
ARE,2016,M,5,0.745,LFS - Labour Force Survey
ARE,2016,M,6,1.106,LFS - Labour Force Survey
ARE,2016,M,TOTAL,6055.634,LFS - Labour Force Survey
ARE,2017,F,1,1314.876,LFS - Labour Force Survey
ARE,2017,F,2,19.811,LFS - Labour Force Survey
ARE,2017,F,3,11.884,LFS - Labour Force Survey
ARE,2017,F,5,0.69,LFS - Labour Force Survey
ARE,2017,F,TOTAL,1348.207,LFS - Labour Force Survey
ARE,2017,M,1,5668.358,LFS - Labour Force Survey
ARE,2017,M,2,179.772,LFS - Labour Force Survey
ARE,2017,M,3,35.379,LFS - Labour Force Survey
ARE,2017,M,5,4.85,LFS - Labour Force Survey
ARE,2017,M,6,4.388,LFS - Labour Force Survey
ARE,2017,M,TOTAL,5892.747,LFS - Labour Force Survey
ARE,2018,F,1,1304.927,LFS - Labour Force Survey
ARE,2018,F,2,19.157,LFS - Labour Force Survey
ARE,2018,F,3,9.901,LFS - Labour Force Survey
ARE,2018,F,5,20.57,LFS - Labour Force Survey
ARE,2018,F,TOTAL,1354.555,LFS - Labour Force Survey
ARE,2018,M,1,5633.223,LFS - Labour Force Survey
ARE,2018,M,2,199.108,LFS - Labour Force Survey
ARE,2018,M,3,25.264,LFS - Labour Force Survey
ARE,2018,M,5,13.126,LFS - Labour Force Survey
ARE,2018,M,TOTAL,5870.75,LFS - Labour Force Survey
ARE,2019,F,1,1682.888,LFS - Labour Force Survey
ARE,2019,F,2,30.568,LFS - Labour Force Survey
ARE,2019,F,3,5.025,LFS - Labour Force Survey
ARE,2019,F,5,50.905,LFS - Labour Force Survey
ARE,2019,F,6,1.841,LFS - Labour Force Survey
ARE,2019,F,TOTAL,1771.226,LFS - Labour Force Survey
ARE,2019,M,1,5337.341,LFS - Labour Force Survey
ARE,2019,M,2,230.648,LFS - Labour Force Survey
ARE,2019,M,3,37.167,LFS - Labour Force Survey
ARE,2019,M,5,10.647,LFS - Labour Force Survey
ARE,2019,M,6,1.287,LFS - Labour Force Survey
ARE,2019,M,TOTAL,5617.089,LFS - Labour Force Survey
ARE,2021,F,1,1629.749,LFS - Labour Force Survey
ARE,2021,F,2,30.597,LFS - Labour Force Survey
ARE,2021,F,3,17.846,LFS - Labour Force Survey
ARE,2021,F,5,7.874,LFS - Labour Force Survey
ARE,2021,F,6,9.632,LFS - Labour Force Survey
ARE,2021,F,TOTAL,1695.698,LFS - Labour Force Survey
ARE,2021,M,1,5208.632,LFS - Labour Force Survey
ARE,2021,M,2,206.07,LFS - Labour Force Survey
ARE,2021,M,3,45.81,LFS - Labour Force Survey
ARE,2021,M,5,7.415,LFS - Labour Force Survey
ARE,2021,M,6,1.504,LFS - Labour Force Survey
ARE,2021,M,TOTAL,5469.43,LFS - Labour Force Survey
ARE,2022,F,1,1671.437,LFS - Labour Force Survey
ARE,2022,F,2,33.762,LFS - Labour Force Survey
ARE,2022,F,3,14.087,LFS - Labour Force Survey
ARE,2022,F,5,24.039,LFS - Labour Force Survey
ARE,2022,F,6,23.288,LFS - Labour Force Survey
ARE,2022,F,TOTAL,1766.614,LFS - Labour Force Survey
ARE,2022,M,1,5253.329,LFS - Labour Force Survey
ARE,2022,M,2,237.746,LFS - Labour Force Survey
ARE,2022,M,3,38.18,LFS - Labour Force Survey
ARE,2022,M,5,7.119,LFS - Labour Force Survey
ARE,2022,M,TOTAL,5536.409,LFS - Labour Force Survey
ARE,2023,F,1,1870.109,LFS - Labour Force Survey
ARE,2023,F,2,53.629,LFS - Labour Force Survey
ARE,2023,F,3,33.644,LFS - Labour Force Survey
ARE,2023,F,5,19.496,LFS - Labour Force Survey
ARE,2023,F,TOTAL,1976.877,LFS - Labour Force Survey
ARE,2023,M,1,6247.869,LFS - Labour Force Survey
ARE,2023,M,2,251.543,LFS - Labour Force Survey
ARE,2023,M,3,72.644,LFS - Labour Force Survey
ARE,2023,M,5,11.506,LFS - Labour Force Survey
ARE,2023,M,TOTAL,6583.561,LFS - Labour Force Survey
ARE,2024,F,1,1667.855,LFS - Labour Force Survey
ARE,2024,F,2,27.927,LFS - Labour Force Survey
ARE,2024,F,3,13.839,LFS - Labour Force Survey
ARE,2024,F,5,2.631,LFS - Labour Force Survey
ARE,2024,F,TOTAL,1712.252,LFS - Labour Force Survey
ARE,2024,M,1,7227.741,LFS - Labour Force Survey
ARE,2024,M,2,264.849,LFS - Labour Force Survey
ARE,2024,M,3,37.127,LFS - Labour Force Survey
ARE,2024,M,5,4.192,LFS - Labour Force Survey
ARE,2024,M,TOTAL,7534.052,LFS - Labour Force Survey
ARE,2025,F,1,2002.138,LFS - Labour Force Survey
ARE,2025,F,2,33.073,LFS - Labour Force Survey
ARE,2025,F,3,16.632,LFS - Labour Force Survey
ARE,2025,F,5,7.634,LFS - Labour Force Survey
ARE,2025,F,TOTAL,2059.623,LFS - Labour Force Survey
ARE,2025,M,1,7987.051,LFS - Labour Force Survey
ARE,2025,M,2,320.361,LFS - Labour Force Survey
ARE,2025,M,3,53.015,LFS - Labour Force Survey
ARE,2025,M,5,10.965,LFS - Labour Force Survey
ARE,2025,M,TOTAL,8372.862,LFS - Labour Force Survey
ARG,2010,F,1,3533.074,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2010,F,2,128.291,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2010,F,3,668.696,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2010,F,5,54.365,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2010,F,TOTAL,4384.425,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2010,M,1,4517.822,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2010,M,2,346.511,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2010,M,3,1254.951,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2010,M,5,28.217,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2010,M,TOTAL,6147.501,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2011,F,1,3608.771,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2011,F,2,117.202,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2011,F,3,662.623,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2011,F,5,52.203,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2011,F,TOTAL,4441.322,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2011,M,1,4668.87,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2011,M,2,364.878,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2011,M,3,1264.38,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2011,M,5,25.196,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2011,M,TOTAL,6324.412,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2012,F,1,3662.987,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2012,F,2,119.671,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2012,F,3,689.307,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2012,F,5,38.233,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2012,F,TOTAL,4510.197,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2012,M,1,4686.266,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2012,M,2,310.256,"LFS - Encuesta Permanente de Hogares, Urbano"
